"","word","count","sentiment","n"
"777","rant",3,"negative",1
"778","ranted",1,"negative",1
"779","rants",1,"negative",1
"780","rape",8,"negative",1
"781","rapid",3,"positive",1
"782","rapture",1,"positive",1
"783","reactionary",1,"negative",1
"784","ready",15,"positive",1
"785","reasonable",1,"positive",1
"786","recession",1,"negative",1
"787","reckless",1,"negative",1
"788","recommended",1,"positive",1
"789","recover",1,"positive",1
"790","redeem",1,"positive",1
"791","reform",2,"positive",1
"792","reforming",1,"positive",1
"793","reforms",1,"positive",1
"794","refuse",2,"negative",1
"795","refused",1,"negative",1
"796","refuses",5,"negative",1
"797","refusing",2,"negative",1
"798","regard",1,"positive",1
"799","regress",1,"negative",1
"800","regressive",1,"negative",1
"801","rejects",2,"negative",1
"802","rejoicing",1,"positive",1
"803","remarkable",2,"positive",1
"804","remarkably",3,"positive",1
"805","renaissance",5,"positive",1
"806","renewed",1,"positive",1
"807","reputation",2,"positive",1
"808","resistance",4,"negative",1
"809","respect",3,"positive",1
"810","respectable",1,"positive",1
"811","restored",3,"positive",1
"812","resurgent",1,"negative",1
"813","retard",1,"negative",1
"814","revelation",4,"positive",1
"815","revenge",3,"negative",1
"816","revival",2,"positive",1
"817","revive",1,"positive",1
"818","revives",1,"positive",1
"819","revolt",1,"negative",1
"820","rhetoric",4,"negative",1
"821","rich",13,"positive",1
"822","richer",2,"positive",1
"823","ridiculous",1,"negative",1
"824","right",76,"positive",1
"825","righteousness",1,"positive",1
"826","rip",4,"negative",1
"827","risk",1,"negative",1
"828","rival",3,"negative",1
"829","rot",12,"negative",1
"830","rotten",3,"negative",1
"831","ruffle",1,"negative",1
"832","ruin",6,"negative",1
"833","ruined",4,"negative",1
"834","ruining",1,"negative",1
"835","ruins",2,"negative",1
"836","rumors",1,"negative",1
"837","rumours",2,"negative",1
"838","ruthless",2,"negative",1
"839","sabotage",1,"negative",1
"840","sad",23,"negative",1
"841","sadly",4,"negative",1
"842","safe",4,"positive",1
"843","saint",1,"positive",1
"844","satisfied",1,"positive",1
"845","savages",1,"negative",1
"846","savior",1,"positive",1
"847","savvy",1,"positive",1
"848","scandals",1,"negative",1
"849","scared",6,"negative",1
"850","scarier",1,"negative",1
"851","scary",18,"negative",1
"852","screwed",2,"negative",1
"853","secretive",1,"negative",1
"854","secure",3,"positive",1
"855","selfishness",2,"negative",1
